DayOfWeek,Hour,Minute,CPU Util,CPU Load,VMs No,Initialing VMs,Running VMs,Quarantined VMs,RunningCloudlets,Throughput
6,0,1,100.0,150.0,2,0,2,0,3,92.85714285714286
6,0,2,100.0,900.0,2,0,2,0,18,75.40983606557377
6,0,3,100.0,950.0,2,0,2,0,19,98.24561403508771
6,0,4,100.0,1700.0,2,0,2,0,34,78.87323943661971
6,0,5,100.0,1550.0,2,0,2,0,31,104.28571428571429
6,0,6,100.0,1000.0,2,0,2,0,20,120.37037037037037
6,0,7,100.0,400.0,2,0,2,0,8,123.07692307692308
6,0,8,100.0,1750.0,2,0,2,0,35,60.29411764705882
6,0,9,100.0,100.0,2,0,2,0,2,170.2127659574468
6,0,10,0.0,0.0,2,0,2,0,0,104.34782608695652
6,0,11,66.66666666666667,100.0,3,1,2,0,3,94.11764705882352
6,0,12,66.66666666666667,1100.0,3,1,2,0,33,57.74647887323944
6,0,13,66.66666666666667,800.0,3,1,2,0,24,116.07142857142858
6,0,14,0.0,0.0,3,1,2,0,0,154.54545454545453
6,0,15,0.0,0.0,3,0,3,0,0,100.0
6,0,16,33.333333333333336,33.333333333333336,3,0,3,0,1,80.0
6,0,17,100.0,500.0,3,0,3,0,15,82.92682926829268
6,0,18,0.0,0.0,3,0,3,0,0,128.84615384615387
6,0,19,100.0,100.0,3,0,3,0,3,95.23809523809523
6,0,20,66.66666666666667,133.33333333333334,3,0,3,0,4,98.75
6,0,21,75.0,225.0,4,1,3,0,9,93.75
6,0,22,75.0,450.0,4,1,3,0,18,86.36363636363636
6,0,23,50.0,50.0,4,1,3,0,2,127.58620689655173
6,0,24,25.0,25.0,4,1,3,0,1,101.61290322580645
6,0,25,50.0,50.0,4,0,4,0,2,98.11320754716981
6,0,26,0.0,0.0,4,0,4,0,0,103.2258064516129
6,0,27,0.0,0.0,4,0,4,0,0,100.0
6,0,28,75.0,100.0,4,0,4,0,4,95.29411764705881
6,0,29,25.0,25.0,4,0,4,0,1,104.41176470588236
6,0,30,0.0,0.0,4,0,4,0,0,101.81818181818181
6,0,31,20.0,20.0,5,1,4,0,1,98.46153846153847
6,0,32,0.0,0.0,5,1,4,0,0,102.08333333333333
6,0,33,40.0,40.0,5,1,4,0,2,96.92307692307692
6,0,34,0.0,0.0,5,1,4,0,0,102.8169014084507
6,0,35,40.0,40.0,5,0,5,0,2,97.40259740259741
6,0,36,40.0,40.0,5,0,5,0,2,100.0
6,0,37,20.0,20.0,5,0,5,0,1,101.69491525423729
6,0,38,0.0,0.0,5,0,5,0,0,101.49253731343283
6,0,39,100.0,160.0,5,0,5,0,8,90.80459770114942
6,0,40,100.0,100.0,5,0,5,0,5,103.79746835443038
6,0,41,16.666666666666668,16.666666666666668,6,1,5,0,1,106.4516129032258
6,0,42,16.666666666666668,16.666666666666668,6,1,5,0,1,100.0
6,0,43,16.666666666666668,16.666666666666668,6,1,5,0,1,100.0
6,0,44,16.666666666666668,16.666666666666668,6,1,5,0,1,100.0
6,0,45,33.333333333333336,33.333333333333336,6,0,6,0,2,98.11320754716981
6,0,46,0.0,0.0,6,0,6,0,0,104.76190476190477
6,0,47,16.666666666666668,16.666666666666668,6,0,6,0,1,98.0
6,0,48,0.0,0.0,6,0,6,0,0,104.34782608695652
6,0,49,16.666666666666668,16.666666666666668,6,0,6,0,1,97.61904761904762
6,0,50,33.333333333333336,33.333333333333336,6,0,6,0,2,97.91666666666666
6,0,51,14.285714285714286,14.285714285714286,7,1,6,0,1,101.75438596491229
6,0,52,14.285714285714286,14.285714285714286,7,1,6,0,1,100.0
6,0,53,14.285714285714286,14.285714285714286,7,1,6,0,1,100.0
6,0,54,14.285714285714286,14.285714285714286,7,1,6,0,1,100.0
6,0,55,0.0,0.0,7,0,7,0,0,101.81818181818181
6,0,56,28.571428571428573,28.571428571428573,7,0,7,0,2,97.33333333333334
